group	original_path	blob_in_06ee25a	state_now	recover_with	disposition	detail
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-CLAIM006-HARDENING-01.md	5f52601a729de53bc6572f1222fde272ff23085c	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-CLAIM006-HARDENING-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-CLAIM032-01.md	3b4ab41e22533ad4ddca87d61181ab1fa79e8cb7	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-CLAIM032-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-CLAIM037-01.md	2aab44c5257cf76bd56f6691a3acdb2c09f1c421	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-CLAIM037-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-CROSS-CLAIM-CENSUS-01.md	e4288644de4d0f1e79eca97f2fa1a8da48271dfd	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-CROSS-CLAIM-CENSUS-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-CROSS-CLAIM-CENSUS-02.md	ba3c21f0c3e611ef451ba0ee7cf04cff22c7ff87	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-CROSS-CLAIM-CENSUS-02.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-CROSS-CLAIM-CENSUS-03.md	0e0f66f456b113030fc43057914c820739347109	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-CROSS-CLAIM-CENSUS-03.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-DOSE-ADJUDICATION-01.md	9307fde4ee643ec3b688c6d9f13f62ff6001d0be	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-DOSE-ADJUDICATION-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-DOSE-DECISION-TABLE-01.md	4def44471b5b5463c45606621ce7fda7a3248d79	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-DOSE-DECISION-TABLE-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-DOSE-TRANSFERABLE-QUANTITY-01.md	23510d1fed10c27682d9acc1a10422553c21b888	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-DOSE-TRANSFERABLE-QUANTITY-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-EGABA-ANALYSIS-PLAN-01.md	c59fda19c18d133e8a817cbbbb0fe2b0da1039e0	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-EGABA-ANALYSIS-PLAN-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-EGABA-CLOSURE-01.md	5bbd502909d7d657a0baacbb10118903228f5e4b	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-EGABA-CLOSURE-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-EGABA-EXPERIMENT-01.md	d8dc838cf80822e5e039b39165ddc9144fae7863	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-EGABA-EXPERIMENT-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-FIVECLAIM-HARDENING-01.md	9dd945ea4b50715ac373c5c68112d5357157ef81	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-FIVECLAIM-HARDENING-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-FIVECLAIM-PACKAGE-01.md	b8eb4d77f252a71f29b20c787c874a2cfe754457	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-FIVECLAIM-PACKAGE-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-GAPJUNCTION-ATTRIBUTION-01.md	ed770e7cd12daa581cb6853bef8d9f9a6cacf702	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-GAPJUNCTION-ATTRIBUTION-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-GSK3B-S9-AXIS-01.md	3efd302bceee3c1d7b3cc25a843241f588a3ccf2	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-GSK3B-S9-AXIS-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-INDEX-PRIORITY.md	4aee2a2e52722c27d116f128d18014a60d37788c	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-INDEX-PRIORITY.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-LITHIUM-BOUNDARY-01.md	830f5d8213f26319584ec7f3085d42a3f2ad02e0	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-LITHIUM-BOUNDARY-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-LOCATOR-PACKET-01.md	64dafbceba168178a0b9891de38e6f7d03cbcb0e	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-LOCATOR-PACKET-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-MTOR-DIRECTION-01.md	68b0190f3feae3280ff6beedd3544dd0aeab3b42	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-MTOR-DIRECTION-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-NMDAR-CONJUNCTION-01.md	0319f52fe5b969eeb7cd8f6ad788d65d7514ffec	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-NMDAR-CONJUNCTION-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-PANNEXIN-N16-01.md	048e9ae7d26ffcaf11d280b99b25aa256d839472	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-PANNEXIN-N16-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-PMID36828035-01.md	c6aafc0516f57906e592394a0ea359ee35646e28	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-PMID36828035-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-PMID36828035-02.md	74fce9465ce28a4043914ea454d41c04dbdc53bf	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-PMID36828035-02.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-PMID36828035-DURABILITY-01.md	db1d85449bc88a455deeeea63d8768f9fcbbee95	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-PMID36828035-DURABILITY-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-PROVENANCE-01.md	d1ba8b8067f4268fb075b849cfc34ee062039dc9	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-PROVENANCE-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-PROVENANCE-PAPER007-01.md	43e2f88b998738db0cc4a35ea5a34233d5dcb5d3	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-PROVENANCE-PAPER007-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-REVIEW-INDEX.md	a59a7f5b5ab918750613aee3b90bfe1a8ed45f77	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-REVIEW-INDEX.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-SEIZURE-RECONCILIATION-01.md	89f73509ff9f8db08aafc7707b4bb00ae83cbb8a	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-SEIZURE-RECONCILIATION-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260826-UPSTREAM-CITATION-FAILURE-01.md	09d54b7aaac0cf3b063ea289510dcf9599e42fce	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260826-UPSTREAM-CITATION-FAILURE-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260909-25331887-01.md	0f31f2522218243d0026eb82ed6aa6b40ed2c8fd	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260909-25331887-01.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260912-29724996-02.md	15653de84efd67fe2dbd714cc52658bc213e73d7	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260912-29724996-02.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260913-15064722-01.md	76d22e6b0a57d6970b010dfcd322dd92eed8538d	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260913-15064722-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260913-16941225-01.md	4d7bd595a34cbfada1392b4d417077932da8118f	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260913-16941225-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260913-24369382-01.md	1e3e33ccb813a19580b256e0e7596d2f90ff1196	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260913-24369382-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260913-24369382-02.md	7077dbe1f729c1757b46584c48c88d7c334ca171	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260913-24369382-02.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260913-27869163-01.md	ae28d222dc5bafec5b4c2f5822490690a59610c1	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260913-27869163-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260913-29724996-03.md	fd916cfe4a7fb4031c73121432bfb5bd3db7bacb	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260913-29724996-03.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260913-35409089-01.md	c2ba5707cf28f74251185476104aa1f0b17370b0	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260913-35409089-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260913-36828035-01.md	88bf6d7a6b05f3944eba75d3e1e03014b49aa25a	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260913-36828035-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260913-39868255-01.md	230c289088b7119206d9f6a8564d37a54fa3d070	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260913-39868255-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260913-ALDAZ-B002-01.md	836976823e68ea64f0cc7f979f57b9a8a37d7e36	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260913-ALDAZ-B002-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260913-ALDAZ-B003-01.md	80f9d2aa1a964202614e6ccb4f9e6d99ef0cc842	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260913-ALDAZ-B003-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260913-ALDAZ-B004-01.md	0b889acb0a6d4d136b8ca82f6ca128c986ea8fa0	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260913-ALDAZ-B004-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260913-ALDAZ-C003-01.md	330855036bd90a491e1eeb684f76ec72ed50549c	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260913-ALDAZ-C003-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-15266310-01.md	bcabc320f3858d8d77c161ec86f78cecbc52e024	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-15266310-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-15870886-01.md	4fdaa8444a5e52369711cb8eea4b45b4f0751d34	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-15870886-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-16152610-01.md	455fda30376ee1ac8affb3477edce5cca9ba9f0c	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-16152610-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-16187332-01.md	7fb489c1c3360f5b6a35bc14fda644eef1ebda4e	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-16187332-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-17823927-01.md	4642096fccd6a317ce1ec5cedf13d2b294c21ff7	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-17823927-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-18047428-01.md	e8e7a513fee995e3827b1dd6c5de1218826cc4fe	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-18047428-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-18061530-01.md	a6af527fe7d1c81bcc625956b0e4bcef9c1a36c2	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-18061530-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-18452537-01.md	34f36ce588841199784538bdf56c34f14253838a	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-18452537-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-22574198-01.md	3d23d3644b7a786c5fbf4b24dba22e480bed4e5f	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-22574198-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-24330518-01.md	9b35437eedc2dfd76d52c0c51496bc2d2ae2b38c	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-24330518-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-25024751-01.md	a8f7e41d43c5970924f63e8d565a4b53131fb7bb	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-25024751-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-28283473-01.md	245fb23b3367d6daee9f2330577ce127deeb5838	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-28283473-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-29724996-04.md	fb73e0d9764c58d38278110a18efee765a97a6f8	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-29724996-04.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-30285739-01.md	c3ac7c8c60775059a83bd0de2b3dad889bb6795a	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-30285739-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-31275852-01.md	2b0bfb10061d60c98702df6250445d548bbe5427	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-31275852-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-41090157-01.md	10c6a1b451ecb505ec56eeb1da0f00c29c07e7b1	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-41090157-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-CLAIM026-CLINICAL-01.md	e48e5227bc34f110e08d7101a260791f52ab93fa	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-CLAIM026-CLINICAL-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-CLAIM032-LIMIT-01.md	47c7c4c2db513073f2ee91d0be70ce38a3720687	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-CLAIM032-LIMIT-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-EVIDENCE-DEPTH-01.md	dde5f76cc0e1236d0ec85ca2eb92624a730a6e79	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-EVIDENCE-DEPTH-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-LIT-VOCAB-01.md	9b8957f1c47378ee84af4dba7a8792a6bcc2a506	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-LIT-VOCAB-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-PLACEHOLDER-IDENTITY-01.md	1b963695fa5c1bff399d5a7fc68aa1b1f9ac7a4f	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-PLACEHOLDER-IDENTITY-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-PLACEHOLDER-READS-01.md	eff5786ddb0bac363ae730d79b807b969981aaf5	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-PLACEHOLDER-READS-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/CC-20260914-UNRECORDED-READS-01.md	0ddb624d8a20951aed753aa6158e7636a285db38	absent on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/CC-20260914-UNRECORDED-READS-01.md	RECOVERED	af09f7a (G4.3), RE-QUEUED with an appended disposition
Commit candidates (G4)	disease-models/wwox/research/commit_candidates/PROPOSAL-20260810-EVIDENCE-PAIR-RATCHET.md	3e46f6d1c94f9bc7d72c6f246ca8e815689f4db5	differs on main	git show 06ee25a:disease-models/wwox/research/commit_candidates/PROPOSAL-20260810-EVIDENCE-PAIR-RATCHET.md	DISPOSITIONED	VPS appended a BATCH DISPOSITION naming a VPS batch; not copied — re-disposition belongs to the held science batch
